NAME: GA-2016-03-16
TIME: 2016-03-16 16:29:28
RANGE: [-10,00;10,00]
GENES: 10
POPULATION: 10
GENERATIONS: 100
PROB. CROSSOVER: 0,500000
PROB. MUTATION: 0,001000
INDIVIDUAL: IndividualReal
CROSSOVER: CrossoverOnePoint
MUTATION: MutationPerChromosome
SELECTION: SelectionTournament
FITNESS: FitnessParable

GENERATION	AVERAGE	ONLINE	ELITE	OFFLINE
88	0,000095553969360	0,780098262490056	0,000095553969360	0,355373898773078
89	0,000095553969360	0,771334187113419	0,000095553969360	0,351382007258429
90	0,000095553969360	0,762764868967373	0,000095553969360	0,347478824444106
91	0,000095553969360	0,754383887483879	0,000095553969360	0,343661425867461
92	0,000095553969360	0,746185101250025	0,000095553969360	0,339927014216395
93	0,040457550626882	0,738596632963755	0,000095553969360	0,336272912493308
94	0,000095553969360	0,730740238506368	0,000095553969360	0,332696557615394
95	0,000095553969360	0,723049241827031	0,000095553969360	0,329195494419120
96	0,000095553969360	0,715518474245180	0,000095553969360	0,325767370039435
97	0,000095553969360	0,708142980221718	0,000095553969360	0,322409928636650
98	0,000095553969360	0,700918006484449	0,000095553969360	0,319121006446168
99	0,000095553969360	0,693838991812580	0,000095553969360	0,315898527128220
100	0,000095553969360	0,686901557434147	0,000095553969360	0,312740497396632
101	0,000095553969360	0,680101497993902	0,000095553969360	0,309645002907253
