TIME: 2013-12-01 18:54:19
RANGE: [-10,00;10,00]
GENES: 10
POPULATION: 10
GENERATIONS: 100
PROB. CROSSOVER: 0,500000
PROB. MUTATION: 0,001000
INDIVIDUAL: IndividualReal
CROSSOVER: CrossoverOnePoint
MUTATION: MutationPerChromosome
SELECTION: SelectionRoulette
FITNESS: FitnessParable

GENERATION	AVERAGE	OFFLINE	ONLINE	ELITE
89	0,332623367340990	2,470472722986760	2,898149099214345	0,100000000000000
90	0,332623367340990	2,446718841257363	2,869643257749086	0,100000000000000
91	0,332623367340990	2,423487022862677	2,841763918294052	0,100000000000000
92	0,332623367340990	2,400760243998311	2,814490651435867	0,100000000000000
93	0,332623367340990	2,378522213066512	2,787803906445599	0,100000000000000
94	0,332623367340990	2,356757331729007	2,761684964540231	0,100000000000000
95	0,332623367340990	2,335450658419660	2,736115895096029	0,100000000000000
96	0,332623367340990	2,314587874137590	2,711079514598580	0,100000000000000
97	0,332623367340990	2,294155250356182	2,686559348132008	0,100000000000000
98	0,332623367340990	2,274139618896843	2,662539593225977	0,100000000000000
99	0,332623367340990	2,254528343628603	2,639005085893805	0,100000000000000
100	0,332623367340990	2,235309293865726	2,615941268708277	0,100000000000000
101	0,332623367340990	2,216470819345680	2,593334160773948	0,100000000000000
